name,email,phone,address,date_of_birth,salary,department,hire_date,employee_id
Judith Huff,vallen@example.net,+1-570-353-6679x55510,"476 Madeline Vista Apt. 424
Barrettchester, OH 55374",1971-06-30,71804.0,IT,2003-07-23,78252
Shelby Smith,bobbyweaver@example.org,902.602.7369x3008,"203 Caroline Village Suite 262
Lake Veronica, SC 44323",1952-09-09,52538.0,IT,2009-07-20,6125160
Michael Trujillo,kyle66@example.net,001-549-265-5873x8598,"2217 Derek Summit Apt. 511
Lake Austin, AZ 76241",1944-03-01,63969.0,Marketing,2014-12-15,995936161
Tracey Fry,kristenbrown@example.com,(827)481-4575x66497,"4908 Charles Islands
Brandonton, OK 81271",1961-01-19,46331.0,IT,2013-08-22,90783957
Darryl Hudson,pmullins@example.net,+1-791-377-0670,"USNS West
FPO AP 25703",1959-04-20,54605.0,Finance,2020-09-19,268392
Samantha Jones,tonya32@example.org,(630)699-4888x9648,"31953 Justin Plains
Shelbyberg, IA 52691",1948-09-12,84314.0,Finance,2010-05-15,30043318
Sherry Walton,lisawilliams@example.net,+1-580-918-3324,"16336 Snyder Drives
Allenland, FM 24276",1946-10-30,37703.0,Marketing,2007-10-16,720179720
Mr. Eric Harris,jamessmith@example.com,+1-746-251-4735x6429,"PSC 2279, Box 3609
APO AP 18083",1946-12-07,78361.0,IT,2003-06-15,485054
Ms. Morgan Collins,johnsonjessica@example.net,2875332539,"596 Gamble Shoals Suite 399
Terrichester, MN 42068",1960-06-20,30718.0,HR,2018-10-01,725558
Mikayla Wilson,kimberly05@example.org,(353)969-5138x65922,"00693 Williams Wall
West Julie, NC 71320",1966-04-26,48247.0,HR,2017-04-02,50205411
Gwendolyn Ortiz,gelliott@example.org,+1-706-381-0743x481,"5592 Anne Forks Suite 324
Lake Zachary, UT 16676",1993-05-26,54757.0,Sales,2018-02-26,897554901
Charles Gibson,dannypadilla@example.com,655.609.3027,"028 Richard Roads Apt. 969
East Marytown, LA 09109",1955-04-24,35676.0,Marketing,2006-10-20,578617
Mrs. Samantha Li,anne00@example.org,499.637.6894x98256,"545 Jesse Locks Apt. 065
East Tinamouth, NY 06733",1994-11-19,72008.0,Marketing,2011-01-01,8933
Lisa Cole,emiranda@example.com,001-751-383-5239,"0157 Scott Alley Suite 940
Smithchester, IL 22909",1961-06-18,99192.0,Sales,2018-04-23,88217206
Kristen Morris,uparker@example.org,837-856-2011,"365 Duncan Wells
Acostatown, GU 35968",1981-03-11,77284.0,HR,2010-08-19,225843502
Monique Walker,amy11@example.net,001-434-295-3765x32506,"988 Lori Spring Apt. 232
South Jessicaland, NH 47168",1945-10-22,86893.0,Marketing,2005-03-04,70438
Mark Medina,garrettjohn@example.org,(694)885-3702,"3431 Lawrence Extension
South Roy, IN 47258",1947-02-05,74521.0,IT,2010-05-27,140
Nicole Humphrey,sbarnes@example.org,001-831-655-7150x157,"4449 Davis Lane
Port William, MN 08657",1995-12-13,67400.0,Finance,2019-06-24,9221240
Douglas Turner,perezjason@example.com,001-461-904-9542x5152,"7950 Elizabeth Camp Suite 884
South Kimberlyberg, PW 76916",1967-12-15,43292.0,Sales,2015-08-26,6724
Christine Randall,sday@example.com,286-342-0706,"97592 Horton Shoals
Lake Patricia, DE 74979",1950-08-23,54114.0,HR,2007-08-18,4933
Melissa Cook,jimmylopez@example.com,(737)712-7334,"701 Morton Bypass Suite 241
Stephaniefort, AK 61073",1943-09-23,56361.0,Marketing,2017-09-20,59954
Chad Garcia,wrightbrian@example.com,698.467.2227,"1387 Kent Mount
Williamsside, AK 76352",1968-06-02,39121.0,Marketing,2005-11-13,6809
Maria Brown,djames@example.org,956.696.2434,"0786 Leach Plains Apt. 049
East Michelle, OH 47084",1944-11-13,78505.0,IT,2003-10-22,298
Eric Andrews,salaskatelyn@example.net,519.563.1238x9747,"192 Logan Meadows Apt. 000
Port Jesusfort, PW 90853",1981-03-29,96731.0,Marketing,2011-10-31,10593291
Jennifer Kidd,mthompson@example.org,461-431-8030x37192,"65513 Jacob Plaza
Ryanmouth, NC 67395",1976-06-25,47222.0,Finance,2012-02-27,92828063
Deborah Howard,stephen59@example.com,481.221.8806x732,"4749 Cruz Squares
Amandatown, SD 94950",1950-06-26,73588.0,Finance,2000-03-04,712377656
Sean Daugherty,vargassophia@example.org,803-747-1176x99529,"86686 Julie Circle Apt. 799
New Sharon, OK 92898",1961-09-05,40577.0,IT,2000-07-21,9471289
Daniel Bennett,piercejanet@example.org,(897)914-2818,"322 Alicia Divide
West Jessica, IN 17803",1954-08-23,71607.0,Finance,2021-05-02,870538975
Alexis Curry,cassandramccoy@example.org,001-687-279-5445x44544,"Unit 2489 Box 0532
DPO AP 86876",1991-06-17,41144.0,HR,2000-01-08,4860942
Andrea Cameron,jmedina@example.org,+1-622-334-5655x6627,"356 Mcdonald Forge
East Michele, NH 78624",1997-12-26,37217.0,Marketing,2017-07-30,70086
Erica Neal,gbennett@example.com,238-298-1298,"558 Johnson Trail Suite 008
Jonesmouth, RI 86769",1944-05-31,33537.0,Sales,2017-03-13,266005246
Dennis Lewis,priceanthony@example.net,511.280.3991x80424,"894 Jennifer Points
Kevinland, CT 14145",1957-09-18,39391.0,Finance,2004-04-22,7442
Amy Patel,michaellynn@example.org,8947794318,"2259 Brianna Square
Brianburgh, WA 41297",2000-04-26,31105.0,Sales,2013-12-29,665871
Peggy Villanueva,joshuaperez@example.org,6608400694,"263 James Lodge Suite 980
Mooremouth, AR 47362",1997-01-02,75609.0,HR,2013-07-13,17367
Latasha Young,melissakennedy@example.net,(732)345-9007,"0123 Christopher Brook
Thomastown, WI 67894",1983-01-26,71372.0,IT,2007-06-17,3597860
Dr. Katherine Lucas,rodriguezrodney@example.org,(401)215-0624x69906,"2337 Buckley Mission
East Kimberlyborough, SD 18035",1992-07-31,85859.0,IT,2005-11-25,558008
