name,email,phone,address,date_of_birth,salary,department,hire_date,employee_id
Michael Howard,james66@example.net,001-747-878-2015x0584,"USS Myers
FPO AA 16328",1958-08-31,92894.0,Finance,2002-01-18,38007
Daniel Ward,ycummings@example.net,935.245.9453x9843,"546 Gardner Well Suite 544
Heatherport, VT 57835",1998-12-19,61387.0,Marketing,2018-07-09,57328683
Jennifer Russell,jmccoy@example.com,408.709.5148,"Unit 1744 Box 2955
DPO AE 26097",1992-04-22,32942.0,Marketing,2021-05-02,589651
Hayden Crawford,aalvarez@example.com,(581)219-5836x5753,"0280 Smith Mews
Danielhaven, PA 28739",1961-06-22,34430.0,Marketing,2019-06-08,218602
Jackson Graham,jenniferwashington@example.net,814-587-1880,"5374 Rosario Hill Apt. 622
North Megan, WV 83365",1996-05-23,80635.0,HR,2005-02-16,86783
Christian Walker,twolfe@example.com,+1-601-320-7987x59722,"9482 Joshua Burgs Suite 465
New Mark, PW 77752",1985-09-16,84966.0,Finance,2011-07-15,574
William Velez,joshuahendricks@example.com,484.520.0262x424,"490 Cynthia Meadow
Lake Sharonchester, GA 30651",2004-05-11,72850.0,IT,2001-12-20,574909
Debbie Mack,sanderson@example.com,+1-597-920-9143x262,"9701 Arias Place Suite 382
West Elizabethstad, CT 98146",1952-03-18,34869.0,Marketing,2004-01-19,17025
Robert Rodriguez,fcooper@example.com,773-303-7897x17959,"229 Aaron Row
South Connie, NM 81838",1985-02-05,73430.0,Marketing,2015-10-02,58182
Ronald Bell,jody38@example.net,6729155820,"78607 Gerald Islands Suite 110
Port Lorraineburgh, SC 20723",1979-05-29,85535.0,Finance,2004-04-13,631504
Jillian Coleman,cklein@example.com,(710)788-1950,"72310 Crawford Squares Suite 894
Hallland, ND 77503",1950-06-15,72118.0,Marketing,2008-02-26,97322
Daniel Valenzuela,perezandrew@example.org,+1-277-473-0783x2752,"7592 Smith Spur Apt. 472
Blackburnborough, VI 02583",2000-01-04,68833.0,IT,2001-04-05,388209337
Jasmine Johnson,lynn44@example.com,850.792.6311x128,"905 Bryant Path
East Tylermouth, HI 71304",1950-09-05,45705.0,Finance,2021-08-05,681873777
Daniel Rosario,fisheralison@example.com,646.714.7282x2328,"2997 Travis Branch Suite 646
North Shaneport, OR 71860",1996-03-28,65402.0,Marketing,2015-12-15,4942
William Gordon,erincooke@example.com,9873084502,"64161 Regina Oval
New Ashleyshire, FM 24120",1952-07-09,47307.0,IT,2004-12-04,1633737
Patrick Jones,marc13@example.net,001-297-594-9397,"037 Brown Stream
Anthonystad, MI 25313",1967-09-13,40067.0,Sales,2019-09-16,21987
Rick Cummings,nmcbride@example.net,692-669-9169,"14493 Richard Parkways Suite 354
Port Marthafurt, MD 97291",1969-03-06,85398.0,IT,2006-04-24,888057226
John Burton,janice53@example.org,(299)513-7941x4928,"2290 Williams Rapid Apt. 069
New Gregory, IN 03283",1989-12-16,89058.0,Finance,2018-07-29,7297161
